Station Display Name,Zone,Customer Category,Postal Code,EVSE Latitude and Longitude,Long,Lat
NATIONAL INSTRU / 7&8,NATIONAL INSTRU,Workplace,78759,"(30.408505, -97.727699)",-97.727699,30.408505
NATIONAL INSTRU / 9&10;,NATIONAL INSTRU,Workplace,78759,"(30.408686, -97.725307)",-97.725307,30.408686
NEIGHBORHOOD HO / 912 E11TH STAT1,NEIGHBORHOOD HO,Municipal,78702,"(30.270014, -97.730825)",-97.730825,30.270014
NISSAN-TOWN NOR / QUICK CHARGER 1,NISSAN-TOWN NOR,Retail,78758,"(30.374418, -97.732155)",-97.732155,30.374418
NORTHPOINTCENTR / NORTHPOINT,NORTHPOINTCENTR,Workplace,78731,"(30.351629, -97.752035)",-97.752035,30.351629
OPHTHALMOLOGY / AUSTIN EYE STA1,OPHTHALMOLOGY,Workplace,78751,"(30.296713, -97.719788)",-97.719788,30.296713
PARKING LEVEL 1 / GATEWAY 1 MAIN,PARKING LEVEL 1,Multifamily,78758,"(30.3987, -97.724056)",-97.724056,30.3987
PARKING LEVEL 1 / KENZIE 2,PARKING LEVEL 1,Multifamily,78758,"(30.399504, -97.723519)",-97.723519,30.399504
PLUGNEVERYWHERE / ACCSOAUSTIN1,PLUGNEVERYWHERE,Education,78745,"(30.216026, -97.796371)",-97.796371,30.216026
PLUGNEVERYWHERE / ERCOT 1,PLUGNEVERYWHERE,Workplace,78744,"(30.2165, -97.691795)",-97.691795,30.2165
PLUGNEVERYWHERE / ERCOT 2,PLUGNEVERYWHERE,Workplace,78744,"(30.216521, -97.691645)",-97.691645,30.216521
PLUGNEVERYWHERE / ERCOT 3,PLUGNEVERYWHERE,Workplace,78744,"(30.216505, -97.691533)",-97.691533,30.216505
PLUGNEVERYWHERE / HEB 6EA1,PLUGNEVERYWHERE,Retail,78751,"(30.299752, -97.720467)",-97.720467,30.299752
PLUGNEVERYWHERE / PALMER STATION4,PLUGNEVERYWHERE,Parking,78704,"(30.259888, -97.752644)",-97.752644,30.259888
PLUGNEVERYWHERE / PALMER STATION5,PLUGNEVERYWHERE,Parking,78704,"(30.259881, -97.752744)",-97.752744,30.259881
PLUGNEVERYWHERE / PALMER STATION6,PLUGNEVERYWHERE,Parking,78704,"(30.259925, -97.752708)",-97.752708,30.259925
PLUGNEVERYWHERE / PALMER STATION7,PLUGNEVERYWHERE,Parking,78704,"(30.259888, -97.752687)",-97.752687,30.259888
PLUGNEVERYWHERE / PALMER STATION8,PLUGNEVERYWHERE,Parking,78704,"(30.2599, -97.752776)",-97.752776,30.2599
